osmid,x,y,nearest_pharmacy_m
1137644637,10.8960946,48.3089932,760.663538153659
1137644669,10.8961989,48.3093449,780.9269178249162
1137644675,10.8962964,48.3098136,833.7208857024002
1137644694,10.8971716,48.3088837,680.0861774500968
1137644753,10.8939374,48.3102872,806.8141664438525
1137644772,10.8942386,48.3102901,783.8081042689869
1137644777,10.8949799,48.3102142,791.3283756064195
1137644780,10.8954361,48.3101648,825.5111521515422
1137644783,10.8960741,48.3100933,873.3600040090346
1137644788,10.8965342,48.3100482,857.7573045511948
1137644804,10.8972676,48.3099717,803.2762008895664
1137644820,10.89721,48.3097201,774.9769911975866
1137644823,10.8964841,48.3097944,829.2938028778108
1137644824,10.8961997,48.3098235,840.9566710582822
1137644834,10.8960178,48.3098422,854.5690370466166
1137644846,10.895531,48.3098646,866.7187011197474
1137644851,10.8953768,48.3099184,853.2583931401653
1137644855,10.8950464,48.3099491,828.9206196007508
1137644875,10.8949246,48.3099606,819.8224767536041
1137644876,10.8943256,48.310016,823.4766485097069
1137644936,10.8942918,48.3095019,880.6966697739114
1137644939,10.8949355,48.3094772,875.5266246042647
1137644942,10.8954311,48.3094305,838.5070022530413
1137644943,10.8960881,48.3093594,789.2784447535327
1137644975,10.8960205,48.3090578,761.3035632727141
1137663125,10.8721979,48.3377686,601.3621358522323
1137663146,10.8674426,48.3312559,1131.4178946503384
1137663161,10.8693749,48.3329569,972.5156637707245
1137663241,10.8708146,48.3326935,1086.3736595834764
1137663254,10.8696526,48.3327889,1006.9411208610429
1137663272,10.8702725,48.3325575,1064.4053999145435
1137663279,10.868662,48.3322932,1063.2687794170238
1137663312,10.8703659,48.3326245,1054.2479128159025
1137663330,10.8694254,48.3330154,972.1026322498342
1137663331,10.8698223,48.3327451,1018.6621536331887
1137663345,10.8688855,48.3324871,1036.103638551205
1137663439,10.8679483,48.3323064,1116.0484159873333
1137663520,10.8680417,48.3325131,1098.5470313058734
1137663619,10.8702054,48.3326011,1052.0547073744747
1137663728,10.8738122,48.3378082,711.789597675516
1137663835,10.8671677,48.3312581,1108.982171120824
1137663871,10.8673895,48.3312582,1117.5255837761422
1137663874,10.8690232,48.3323813,1057.1142455169363
1137767513,10.8667138,48.3312629,1085.8999079639548
1137767522,10.8634407,48.3310023,1187.9505803039344
1137767539,10.8631926,48.3308718,1227.6476221517514
1137767550,10.8653401,48.3312819,1178.5713476892504
1137767552,10.8655906,48.331378,1148.7582681762435
1137767575,10.8637865,48.3316311,1109.021453776596
1137767586,10.8668593,48.3310724,1102.7313575798507
1137767596,10.8633422,48.3314688,1167.8963734486895
1137767615,10.8636105,48.3312531,1164.8690037625101
1137767627,10.8652676,48.3331335,903.8180893954708
1137767641,10.865392,48.3312774,1175.341044519645
1137767656,10.8655786,48.331342,1152.858406878828
1137767682,10.8669268,48.3329838,893.5607664224211
1137767694,10.8638047,48.3317271,1098.2622722974068
1137767742,10.8642692,48.3315589,1136.4005369438444
1137767750,10.8657286,48.3316697,1118.6944823913184
1137767757,10.8637508,48.3317309,1099.7036038065849
1137767782,10.8633042,48.3312687,1191.2223300460892
1137767786,10.8642552,48.3314934,1143.7569796713733
1137767806,10.8632428,48.3310678,1210.044376686191
1137767825,10.8636003,48.3316508,1114.495246939641
1137767847,10.8656791,48.3316761,1114.966664602295
1137767860,10.8631945,48.3309109,1215.6456361769458
1137767876,10.8656928,48.3313312,1150.3254528393945
1137767894,10.8659184,48.3324259,1027.4569794003203
1137767918,10.8670179,48.3335012,835.3837765837924
1137767921,10.8638406,48.3316267,1111.4759030927692
1137779487,10.8660274,48.3339786,793.6313459519229
1137779537,10.8647246,48.3323254,1002.2657674014742
1137779552,10.8668401,48.3352813,635.8414811776331
1137779554,10.8670528,48.3346672,706.064003209731
1137779563,10.8657497,48.3336838,832.3377244553544
1137779590,10.8670121,48.3335491,830.7160872583835
1137779601,10.8638123,48.3317714,1093.3043943384675
1137779608,10.8666616,48.3335572,857.3260794551849
1137829502,10.860308,48.3381579,915.7274906460511
1137829567,10.8660454,48.3341423,773.5577327242636
1137829576,10.8599848,48.3380618,894.8337084225669
1137829584,10.8653383,48.3344023,845.2313199093185
1137829686,10.8600087,48.3379932,887.003835875268
1137829712,10.8608237,48.3377206,860.8066432601997
1137829719,10.8623768,48.336003,1038.8367529079846
1137829926,10.8607008,48.3380742,819.7558666901647
1137829964,10.8602036,48.3378279,863.6488188072658
