osmid,x,y,nearest_pharmacy_m,accessibility_band
26501529,10.9256095,48.3904501,1540.5401099970084,> 1500 m
26501548,10.9315618,48.3912267,1596.5403427686065,> 1500 m
26501632,10.927034,48.3907422,1597.3857293339872,> 1500 m
26513110,10.9554572,48.3788638,2106.811634150607,> 1500 m
26513148,10.9547676,48.380307,1938.3918888156957,> 1500 m
26513180,10.9525487,48.3770092,2020.4853552363247,> 1500 m
26513195,10.9554059,48.3776059,2219.4643506868283,> 1500 m
26513208,10.9532112,48.3784585,1958.945878830927,> 1500 m
26513262,10.9315703,48.369451,1636.754506007489,> 1500 m
26513389,10.9515007,48.3804276,1642.249599597274,> 1500 m
26513430,10.9550009,48.3798351,1993.6573669252407,> 1500 m
26513446,10.9552337,48.3793637,2048.8249737633005,> 1500 m
26513507,10.9555312,48.3780885,2177.4839805814454,> 1500 m
26513516,10.9535123,48.3806937,1793.7340005307317,> 1500 m
26513570,10.9568431,48.379106,2212.6528706876584,> 1500 m
26513588,10.9529838,48.3789664,1900.0255472776585,> 1500 m
26513709,10.9331127,48.3673787,1794.47185230223,> 1500 m
26513735,10.9515523,48.3802732,1659.8408063379006,> 1500 m
26513743,10.9294212,48.3694792,1556.7785956829782,> 1500 m
26513771,10.9481983,48.3820941,1657.9053593165042,> 1500 m
26513790,10.9555585,48.3785843,2138.778502755752,> 1500 m
26513796,10.9551287,48.3795829,2023.2471168431707,> 1500 m
26513839,10.9535497,48.3806089,1803.559569414791,> 1500 m
26513848,10.9527788,48.379418,1851.519016950872,> 1500 m
26513856,10.9555116,48.3779422,2180.8738612351253,> 1500 m
26513996,10.9536778,48.3772057,2102.513722521484,> 1500 m
26514002,10.956644,48.379866,2139.50238821856,> 1500 m
26514021,10.9564474,48.3808539,2057.115844824797,> 1500 m
26514108,10.9515902,48.37974,1719.1960614950813,> 1500 m
26517217,10.88856,48.3377837,1607.3949021764306,> 1500 m
26519561,10.9326775,48.3698911,1543.8140845985013,> 1500 m
26519562,10.933591,48.3688532,1677.5140130830423,> 1500 m
26519583,10.950612,48.3803042,1575.196736742776,> 1500 m
26519586,10.949866,48.3824716,1609.624401839163,> 1500 m
26519593,10.9525647,48.3799171,1793.8128801325065,> 1500 m
26519594,10.9519056,48.3787797,1817.7323980498177,> 1500 m
26519595,10.9534086,48.3779793,2014.189116187565,> 1500 m
26519596,10.9553402,48.3780565,2162.935423715124,> 1500 m
26519597,10.9554874,48.377746,2202.763430066417,> 1500 m
26519612,10.9295269,48.3951438,1573.917210349947,> 1500 m
26582578,10.8483284,48.3187998,1618.8030873346768,> 1500 m
26582671,10.8442248,48.3208724,2011.8393922271189,> 1500 m
26658657,10.8203708,48.3144928,3289.5582756903614,> 1500 m
26658659,10.8190423,48.3130621,3486.4638128110414,> 1500 m
31918912,10.8787221,48.332511,1516.3167635158115,> 1500 m
31918947,10.8796028,48.3326783,1520.860467318884,> 1500 m
31919029,10.8746866,48.3311676,1504.9079609199882,> 1500 m
31919038,10.8765562,48.3303406,1670.916357526931,> 1500 m
31919044,10.8768564,48.3306438,1641.6751826445322,> 1500 m
31919048,10.8771589,48.3309436,1610.78729114564,> 1500 m
33481871,10.9565195,48.3814497,2024.5000827227557,> 1500 m
33481872,10.956644,48.3815883,2042.446088795505,> 1500 m
33481875,10.9553138,48.3830669,1905.407505042428,> 1500 m
33529315,10.9563673,48.3813457,2040.6270058587352,> 1500 m
34212109,10.8752314,48.3099234,1679.60121508879,> 1500 m
34212153,10.8791985,48.3102943,1563.2360587735716,> 1500 m
34212560,10.869944,48.2927365,3473.688289015022,> 1500 m
34212566,10.8733233,48.2979389,2842.771102407288,> 1500 m
35792482,10.9148358,48.2807186,2791.35437791804,> 1500 m
35792491,10.9250969,48.2708386,4195.74952233846,> 1500 m
35792493,10.9261781,48.277969,3698.9814103158014,> 1500 m
35792495,10.9251955,48.2792293,3540.907945013313,> 1500 m
35792500,10.9225788,48.2820758,3160.252618867998,> 1500 m
35792506,10.9131902,48.2798566,2601.2971722482234,> 1500 m
35792518,10.909937,48.283739,2210.0906565759647,> 1500 m
35792535,10.9070718,48.2747207,3294.157537191799,> 1500 m
35792536,10.9036769,48.2727189,3630.864759978552,> 1500 m
35792542,10.9136476,48.2701611,3721.1028033243833,> 1500 m
35792543,10.9135831,48.2671734,4053.359105040777,> 1500 m
50006912,10.9068422,48.2874764,1726.470478223596,> 1500 m
50006931,10.9073816,48.2843653,2092.304293983556,> 1500 m
50006963,10.9041991,48.2785818,2933.764540248448,> 1500 m
50007017,10.917988,48.270086,3923.385370033483,> 1500 m
50007021,10.9172052,48.2646123,4534.903787463571,> 1500 m
50007031,10.9162074,48.2582815,5243.343520141792,> 1500 m
50007175,10.9389511,48.2938596,3377.811651255359,> 1500 m
50007181,10.9339018,48.295497,2962.232942961971,> 1500 m
50007192,10.9252168,48.2983366,2246.249120340775,> 1500 m
50007196,10.9232354,48.2939368,2347.3944990040845,> 1500 m
50007199,10.9202857,48.2945107,2120.039866845188,> 1500 m
50007229,10.916436,48.2952557,1823.2381155505807,> 1500 m
60861200,10.8279382,48.3129529,2697.935321434469,> 1500 m
118257567,10.9444124,48.3162553,3370.9314413686334,> 1500 m
119317557,10.8943357,48.3891682,1957.310812542304,> 1500 m
119317562,10.896168,48.3902152,2002.6568037278664,> 1500 m
119317581,10.8923243,48.3963271,2754.3576563432566,> 1500 m
119317642,10.8892292,48.4001891,3337.483269020168,> 1500 m
119317656,10.8887008,48.3960495,2880.001971405873,> 1500 m
186022865,10.8963953,48.3876354,1728.533499126284,> 1500 m
186022889,10.8945602,48.3868176,1895.097507585153,> 1500 m
186022992,10.8922621,48.3890757,2177.066551325277,> 1500 m
186022999,10.8909125,48.3901005,2328.7827801413714,> 1500 m
186023104,10.8938776,48.3863167,1970.224285959181,> 1500 m
186023113,10.8923307,48.3879581,2155.3354934691665,> 1500 m
186023121,10.8933493,48.3882128,2074.4628923023997,> 1500 m
186023131,10.8922145,48.388127,2156.0857269962894,> 1500 m
186023137,10.8931589,48.3884244,2078.9054502296453,> 1500 m
207155458,10.8529245,48.3017908,1667.6098477169712,> 1500 m
247094100,10.9160563,48.2722308,3519.7880297941265,> 1500 m
251317261,10.9260846,48.3445046,1570.14488745757,> 1500 m
254465038,10.8690362,48.4003905,1564.3118236945625,> 1500 m
254465043,10.86898,48.400952,1592.456195680092,> 1500 m
254465083,10.8705792,48.4030479,1846.5149466104249,> 1500 m
254471035,10.8703325,48.403124,1824.8257298954047,> 1500 m
254471044,10.8701758,48.4031729,1842.1988531203333,> 1500 m
255237012,10.8256437,48.2989514,3968.972702496592,> 1500 m
255237018,10.8220723,48.3045167,3710.811361765681,> 1500 m
255237021,10.8267921,48.3043554,3361.252039425289,> 1500 m
255237022,10.8330825,48.3047937,2979.795612753534,> 1500 m
255237025,10.8327265,48.304125,3058.6763231429227,> 1500 m
256030111,10.9387966,48.2811047,4490.610180727125,> 1500 m
256031266,10.9406394,48.2944589,3654.072473412016,> 1500 m
256031268,10.9406744,48.2957303,3574.5474123190584,> 1500 m
256031298,10.9503114,48.3024875,3388.8427486952714,> 1500 m
256031321,10.9496492,48.3072207,3491.8299491803514,> 1500 m
256031323,10.9491047,48.3074515,3444.0255275692416,> 1500 m
256031324,10.9486765,48.307712,3487.059924828104,> 1500 m
256032281,10.9445315,48.3173106,3489.95629175293,> 1500 m
256033098,10.9396717,48.3301078,2623.7917912386624,> 1500 m
256033105,10.9384179,48.3309197,2493.938298394391,> 1500 m
256037385,10.9366519,48.2777416,4758.370636178196,> 1500 m
256037388,10.9370474,48.2781161,4813.920853970614,> 1500 m
256092698,10.9444867,48.2942633,6619.237644635603,> 1500 m
256092699,10.9443442,48.2933114,6725.972674450248,> 1500 m
